Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Molecular Functions,21,GO:0003779,actin binding,,-8.3,2.5,6.8,30284,443,1307,48,3.7,0.52,88|816|822|1627|1956|2037|2039|3208|3636|4131|4137|4646|4650|4846|6525|6709|6744|7111|7137|7145|8507|8826|8936|8941|9168|9275|10095|10634|11013|11151|22846|23022|23623|28988|29114|29780|51225|51466|57662|57698|64601|83988|84193|91010|92241|170954|201191|644150,ACTN2|CAMK2B|CAPG|DBN1|EGFR|EPB41L2|DMTN|HPCA|INPPL1|MAP1B|MAPT|MYO6|MYO9B|NOS3|SMTN|SPTAN1|ITPRID2|TMOD1|TNNI3|TNS1|ENC1|IQGAP1|WASF1|CDK5R2|TMSB10|BCL7B|ARPC1B|GAS2L1|TMSB15A|CORO1A|VASH1|PALLD|RUSC1|DBNL|TAGLN3|PARVB|ABI3|EVL|CAMSAP3|SHTN1|VPS16|NCALD|SETD3|FMNL3|RCSD1|PPP1R18|SAMD14|WIPF3,-6,Var1
GO Biological Processes,19,GO:0015980,energy derivation by oxidation of organic compounds,19_GO:0009987 cellular process,-8.2,3,7,30284,281,1307,36,2.8,0.45,48|498|509|514|1347|1348|1716|1743|2109|2629|2632|2806|3420|3421|4191|4714|4715|4720|4725|5509|5836|6392|7157|7384|8801|9551|29796|51079|51294|54539|55062|80219|83931|137872|221395|648791,ACO1|ATP5F1A|ATP5F1C|ATP5F1E|COX7A2|COX7A2P2|DGUOK|DLST|ETFB|GBA1|GBE1|GOT2|IDH3B|IDH3G|MDH2|NDUFB8|NDUFB9|NDUFS2|NDUFS5|PPP1R3D|PYGL|SDHD|TP53|UQCRC1|SUCLG2|ATP5MF|UQCR10|NDUFA13|PCDH12|NDUFB11|WIPI1|COQ10B|STK40|ADHFE1|ADGRF5|PPP1R3G,-6,Var1
GO Molecular Functions,21,GO:0005516,calmodulin binding,,-8.2,3.4,7.2,30284,207,1307,30,2.3,0.41,107|135|816|818|1956|2596|2669|3706|3780|4135|4155|4646|4650|4846|5331|5532|5996|6016|6709|7082|8536|8826|9261|10409|57662|79012|84876|85366|93974|219670,ADCY1|ADORA2A|CAMK2B|CAMK2G|EGFR|GAP43|GEM|ITPKA|KCNN1|MAP6|MBP|MYO6|MYO9B|NOS3|PLCB3|PPP3CB|RGS1|RIT1|SPTAN1|TJP1|CAMK1|IQGAP1|MAPKAPK2|BASP1|CAMSAP3|CAMKV|ORAI1|MYLK2|ATP5IF1|ENKUR,-6,Var1
GO Cellular Components,20,GO:0043025,neuronal cell body,,-8.2,2.4,6.7,30284,503,1307,52,4,0.54,94|135|478|658|1020|1400|2026|2596|3208|3780|3897|4131|4137|4155|4345|4692|5518|5802|5881|6252|6533|6715|6860|6861|7133|7345|8507|8939|9362|9638|10146|10300|10381|10382|10458|11075|22911|22983|23154|25861|26047|28988|56896|57142|57698|64601|79641|81565|84152|90249|124925|146760,ACVRL1|ADORA2A|ATP1A3|BMPR1B|CDK5|CRMP1|ENO2|GAP43|HPCA|KCNN1|L1CAM|MAP1B|MAPT|MBP|CD200|NDN|PPP2R1A|PTPRS|RAC3|RTN1|SLC6A6|SRD5A1|SYT4|SYT5|TNFRSF1B|UCHL1|ENC1|FUBP3|CPNE6|FEZ1|G3BP1|KATNB1|TUBB3|TUBB4A|BAIAP2|STMN2|WDR47|MAST1|NCDN|WHRN|CNTNAP2|DBNL|DPYSL5|RTN4|SHTN1|VPS16|ROGDI|NDEL1|PPP1R1B|UNC5A|SEZ6|RTN4RL1,-6,Var1
GO Biological Processes,19,GO:0001822,kidney development,19_GO:0032502 developmental process,-8.2,2.9,7,30284,308,1307,38,2.9,0.46,271|285|384|655|947|1497|1906|1910|2246|2260|2263|2828|3280|3764|3911|4088|4091|4092|4208|4435|4851|4853|5155|5156|6422|6659|6772|7010|8826|10409|11277|23129|25937|25976|28514|28999|64321|84662,AMPD2|ANGPT2|ARG2|BMP7|CD34|CTNS|EDN1|EDNRB|FGF1|FGFR1|FGFR2|GPR4|HES1|KCNJ8|LAMA5|SMAD3|SMAD6|SMAD7|MEF2C|CITED1|NOTCH1|NOTCH2|PDGFB|PDGFRA|SFRP1|SOX4|STAT1|TEK|IQGAP1|BASP1|TREX1|PLXND1|WWTR1|TIPARP|DLL1|KLF15|SOX17|GLIS2,-6,Var1
GO Biological Processes,19,GO:1901888,regulation of cell junction assembly,19_GO:0050789 regulation of biological process,-8.1,3,7,30284,270,1307,35,2.7,0.45,41|94|391|1793|1949|1969|2039|2239|2260|3791|4088|4131|4208|4738|5583|5802|5881|6422|7010|7082|7476|8321|8861|9040|9423|10672|22899|26047|50848|51225|51517|57142|57633|57662|115703,ASIC1|ACVRL1|RHOG|DOCK1|EFNB3|EPHA2|DMTN|GPC4|FGFR1|KDR|SMAD3|MAP1B|MEF2C|NEDD8|PRKCH|PTPRS|RAC3|SFRP1|TEK|TJP1|WNT7A|FZD1|LDB1|UBE2M|NTN1|GNA13|ARHGEF15|CNTNAP2|F11R|ABI3|NCKIPSD|RTN4|LRRN1|CAMSAP3|ARHGAP33,-5.9,Var1
GO Biological Processes,19,GO:0045321,leukocyte activation,19_GO:0002376 immune system process,-8.1,2.2,6.6,30284,626,1307,60,4.6,0.58,604|718|865|896|939|1051|1435|1906|2013|2064|2214|2281|2323|2355|2629|2874|3280|3430|3459|3516|3566|3689|3764|4066|4088|4137|4208|4242|4669|4853|5532|6146|6659|6688|6777|6814|6929|7048|7157|7374|8325|8503|8773|9093|10014|10312|10461|11151|11277|22904|25793|27347|28514|29781|51043|51176|54567|81609|221395|441478,BCL6|C3|CBFB|CCND3|CD27|CEBPB|CSF1|EDN1|EMP2|ERBB2|FCGR3A|FKBP1B|FLT3LG|FOSL2|GBA1|GPS2|HES1|IFI35|IFNGR1|RBPJ|IL4R|ITGB2|KCNJ8|LYL1|SMAD3|MAPT|MEF2C|MFNG|NAGLU|NOTCH2|PPP3CB|RPL22|SOX4|SPI1|STAT5B|STXBP3|TCF3|TGFBR2|TP53|UNG|FZD8|PIK3R3|SNAP23|DNAJA3|HDAC5|TCIRG1|MERTK|CORO1A|TREX1|SBNO2|FBXO7|STK39|DLL1|NCAPH2|ZBTB7B|LEF1|DLL4|SNX27|ADGRF5|NRARP,-5.9,Var1
GO Cellular Components,20,GO:0005667,transcription regulator complex,,-8.1,2.4,6.6,30284,521,1307,53,4.1,0.55,595|865|1050|1051|1107|2295|2355|2624|2874|2962|3516|3622|4088|4091|4092|4780|5925|6256|6257|6619|6659|6688|6772|6777|6878|6907|6929|7003|7088|7157|7391|7975|8543|8861|9079|9219|9314|10379|10413|10524|11016|23028|25937|51176|53635|54345|54815|55122|55859|55957|63976|64321|400569,CCND1|CBFB|CEBPA|CEBPB|CHD3|FOXF2|FOSL2|GATA2|GPS2|GTF2F1|RBPJ|ING2|SMAD3|SMAD6|SMAD7|NFE2L2|RB1|RXRA|RXRB|SNAPC3|SOX4|SPI1|STAT1|STAT5B|TAF6|TBL1X|TCF3|TEAD1|TLE1|TP53|USF1|MAFK|LMO4|LDB1|LDB2|MTA2|KLF4|IRF9|YAP1|KAT5|ATF7|KDM1A|WWTR1|LEF1|PTOV1|SOX18|GATAD2A|AKIRIN2|BEX1|LIN37|PRDM16|SOX17|MED11,-5.9,Var1
GO Biological Processes,19,GO:0072012,glomerulus vasculature development,19_GO:0032502 developmental process,-8.1,11,9.5,30284,22,1307,10,0.77,0.24,285|947|1906|2828|3280|4851|4853|5155|5156|7010,ANGPT2|CD34|EDN1|GPR4|HES1|NOTCH1|NOTCH2|PDGFB|PDGFRA|TEK,-5.9,Var1
GO Biological Processes,19,GO:1903706,regulation of hemopoiesis,19_GO:0002376 immune system process,-8,2.5,6.7,30284,436,1307,47,3.6,0.52,91|604|865|939|1050|1051|1435|2064|2113|2242|2624|3276|3566|3635|3665|3692|4092|4208|4739|4853|5925|6422|6522|6598|6659|6688|6772|6777|7048|8861|9770|10193|10524|10826|25793|28514|51043|51176|51412|54997|55274|63976|64115|116151|146850|399665|441478,ACVR1B|BCL6|CBFB|CD27|CEBPA|CEBPB|CSF1|ERBB2|ETS1|FES|GATA2|PRMT1|IL4R|INPP5D|IRF7|EIF6|SMAD7|MEF2C|NEDD9|NOTCH2|RB1|SFRP1|SLC4A2|SMARCB1|SOX4|SPI1|STAT1|STAT5B|TGFBR2|LDB1|RASSF2|RNF41|KAT5|FAXDC2|FBXO7|DLL1|ZBTB7B|LEF1|ACTL6B|TESC|PHF10|PRDM16|VSIR|FAM210B|PIK3R6|EEIG1|NRARP,-5.8,Var1
GO Biological Processes,19,GO:0001570,vasculogenesis,19_GO:0032502 developmental process,-8,5.4,8,30284,73,1307,17,1.3,0.31,1969|3791|4435|4851|7048|7075|7137|7476|8322|10413|25976|54345|54922|57007|57142|57493|64321,EPHA2|KDR|CITED1|NOTCH1|TGFBR2|TIE1|TNNI3|WNT7A|FZD4|YAP1|TIPARP|SOX18|RASIP1|ACKR3|RTN4|HEG1|SOX17,-5.8,Var1
GO Biological Processes,19,GO:0032956,regulation of actin cytoskeleton organization,19_GO:0050789 regulation of biological process,-8,2.7,6.8,30284,354,1307,41,3.1,0.48,88|391|822|1436|1906|2039|3265|3636|3925|4088|4739|5156|5829|5881|6422|6522|6709|7016|7082|7111|8936|9168|10458|11013|11151|22899|23189|23433|25791|26084|27289|50848|51466|55114|55604|57704|64411|81553|84952|85415|114822,ACTN2|RHOG|CAPG|CSF1R|EDN1|DMTN|HRAS|INPPL1|STMN1|SMAD3|NEDD9|PDGFRA|PXN|RAC3|SFRP1|SLC4A2|SPTAN1|TESK1|TJP1|TMOD1|WASF1|TMSB10|BAIAP2|TMSB15A|CORO1A|ARHGEF15|KANK1|RHOQ|NGEF|ARHGEF26|RND1|F11R|EVL|ARHGAP17|CARMIL1|GBA2|ARAP3|CYRIA|CGNL1|RHPN2|RHPN1,-5.8,Var1
GO Biological Processes,19,GO:0051051,negative regulation of transport,19_GO:0051179 localization,-8,2.4,6.6,30284,467,1307,49,3.7,0.53,41|88|344|808|1020|1742|1906|2056|2171|2281|2781|3280|3625|4131|4345|4756|4846|4851|5028|5359|5532|5905|6422|6688|6720|6781|6814|6860|7133|7351|7779|10961|10971|11060|11151|11314|26056|27347|29763|29934|29978|55198|64285|79651|84058|112476|112755|124930|192683,ASIC1|ACTN2|APOC2|CALM3|CDK5|DLG4|EDN1|EPO|FABP5|FKBP1B|GNAZ|HES1|INHBB|MAP1B|CD200|NEO1|NOS3|NOTCH1|P2RY1|PLSCR1|PPP3CB|RANGAP1|SFRP1|SPI1|SREBF1|STC1|STXBP3|SYT4|TNFRSF1B|UCP2|SLC30A1|ERP29|YWHAQ|WWP2|CORO1A|CD300A|RAB11FIP5|STK39|PACSIN3|SNX12|UBQLN2|APPL2|RHBDF1|RHBDF2|WDR54|PRRT2|STX1B|ANKRD13B|SCAMP5,-5.8,Var1
GO Molecular Functions,21,GO:0017111,ribonucleoside triphosphate phosphatase activity,,-8,2.1,6.4,30284,741,1307,67,5.1,0.61,379|381|391|394|478|498|509|534|954|1107|1917|2669|2781|2782|2785|3265|3797|4343|4650|4682|5243|5702|5864|5881|5996|6001|6009|6016|6890|7280|9363|9364|9367|9429|9557|10146|10325|10376|10381|10382|10574|10672|10730|10749|10981|22836|23046|23433|27289|51560|51750|53917|54555|54863|55752|55964|57194|57381|57826|60558|79009|116988|148252|203068|347733|376267|441400,ARL4D|ARF5|RHOG|ARHGAP5|ATP1A3|ATP5F1A|ATP5F1C|ATP6V1G2|ENTPD2|CHD3|EEF1A2|GEM|GNAZ|GNB1|GNG3|HRAS|KIF3C|MOV10|MYO9B|NUBP1|ABCB1|PSMC3|RAB3A|RAC3|RGS1|RGS10|RHEB|RIT1|TAP1|TUBB2A|RAB33A|RAB28|RAB9A|ABCG2|CHD1L|G3BP1|RRAGB|TUBA1B|TUBB3|TUBB4A|CCT7|GNA13|YME1L1|KIF1C|RAB32|RHOBTB3|KIF21B|RHOQ|RND1|RAB6B|RTEL1|RAB24|DDX49|TOR4A|SEPTIN11|SEPTIN3|ATP10A|RHOJ|RAP2C|GUF1|DDX50|AGAP3|DIRAS1|TUBB|TUBB2B|RAB15|RAB1C,-5.8,Var1
GO Biological Processes,19,GO:0072073,kidney epithelium development,19_GO:0032502 developmental process,-7.9,3.9,7.4,30284,143,1307,24,1.8,0.37,271|384|655|947|1497|1906|1910|2246|2260|2263|3280|3911|4088|4091|4092|4208|4435|4851|4853|6422|8826|10409|28514|28999,AMPD2|ARG2|BMP7|CD34|CTNS|EDN1|EDNRB|FGF1|FGFR1|FGFR2|HES1|LAMA5|SMAD3|SMAD6|SMAD7|MEF2C|CITED1|NOTCH1|NOTCH2|SFRP1|IQGAP1|BASP1|DLL1|KLF15,-5.8,Var1
GO Biological Processes,19,GO:0043010,camera-type eye development,19_GO:0032502 developmental process,-7.9,2.7,6.7,30284,355,1307,41,3.1,0.48,94|655|658|1497|1641|1956|1969|2295|2782|3208|3280|3791|3985|4088|4669|4774|4851|4853|5156|6659|7048|7101|7111|7275|7289|7476|8322|9314|10312|10461|11145|22882|22899|22901|28514|56999|57381|60436|128637|204851|286204,ACVRL1|BMP7|BMPR1B|CTNS|DCX|EGFR|EPHA2|FOXF2|GNB1|HPCA|HES1|KDR|LIMK2|SMAD3|NAGLU|NFIA|NOTCH1|NOTCH2|PDGFRA|SOX4|TGFBR2|NR2E1|TMOD1|TUB|TULP3|WNT7A|FZD4|KLF4|TCIRG1|MERTK|PLAAT3|ZHX2|ARHGEF15|ARSG|DLL1|ADAMTS9|RHOJ|TGIF2|TBC1D20|HIPK1|CRB2,-5.8,Var1
GO Cellular Components,20,GO:0005911,cell-cell junction,,-7.9,2.3,6.5,30284,527,1307,53,4.1,0.55,595|1004|1317|1627|1742|1969|1982|2549|2683|4092|4851|5582|5583|5829|7010|7082|8322|8531|8751|8773|8777|8826|9071|9414|9459|10188|10298|10413|10458|11151|25937|26047|27289|28514|50848|51294|51599|54922|55114|55679|57493|57608|57662|57826|57863|79026|79652|84952|84966|89958|92140|286204|340348,CCND1|CDH6|SLC31A1|DBN1|DLG4|EPHA2|EIF4G2|GAB1|B4GALT1|SMAD7|NOTCH1|PRKCG|PRKCH|PXN|TEK|TJP1|FZD4|YBX3|ADAM15|SNAP23|MPDZ|IQGAP1|CLDN10|TJP2|ARHGEF6|TNK2|PAK4|YAP1|BAIAP2|CORO1A|WWTR1|CNTNAP2|RND1|DLL1|F11R|PCDH12|LSR|RASIP1|ARHGAP17|LIMS2|HEG1|JCAD|CAMSAP3|RAP2C|CADM3|AHNAK|TMEM204|CGNL1|IGSF21|SAPCD2|MTDH|CRB2|TSPAN33,-5.8,Var1
GO Biological Processes,19,GO:0048013,ephrin receptor signaling pathway,19_GO:0050896 response to stimulus,-7.9,5,7.8,30284,83,1307,18,1.4,0.32,1436|1944|1945|1949|1956|1969|2050|2064|2260|2263|3791|5156|6760|7010|7075|10461|25791|28964,CSF1R|EFNA3|EFNA4|EFNB3|EGFR|EPHA2|EPHB4|ERBB2|FGFR1|FGFR2|KDR|PDGFRA|SS18|TEK|TIE1|MERTK|NGEF|GIT1,-5.7,Var1
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0032502 developmental process,-7.9,2.5,6.6,30284,426,1307,46,3.5,0.51,604|865|1050|1435|1436|1969|2064|2323|2355|2624|2629|2874|3428|3516|3566|4066|4242|4669|4853|5138|5532|6146|6422|6522|6659|6688|6777|6929|7037|7048|7157|7351|8325|8503|9093|10014|10312|10461|22904|25793|28514|29781|51043|51176|54567|441478,BCL6|CBFB|CEBPA|CSF1|CSF1R|EPHA2|ERBB2|FLT3LG|FOSL2|GATA2|GBA1|GPS2|IFI16|RBPJ|IL4R|LYL1|MFNG|NAGLU|NOTCH2|PDE2A|PPP3CB|RPL22|SFRP1|SLC4A2|SOX4|SPI1|STAT5B|TCF3|TFRC|TGFBR2|TP53|UCP2|FZD8|PIK3R3|DNAJA3|HDAC5|TCIRG1|MERTK|SBNO2|FBXO7|DLL1|NCAPH2|ZBTB7B|LEF1|DLL4|NRARP,-5.7,Var1
GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0048518 positive regulation of biological process,-7.9,2.4,6.5,30284,499,1307,51,3.9,0.54,604|655|708|865|939|1435|1725|1793|1949|2013|2056|2064|2113|3280|3566|3689|3791|4088|4092|4739|5155|5881|6422|6598|6659|6777|7010|7016|7037|7048|7082|7297|7532|8861|9093|9780|10524|11151|25865|50848|51043|51144|51176|51412|54453|55274|55604|55679|64115|78986|146850,BCL6|BMP7|C1QBP|CBFB|CD27|CSF1|DHPS|DOCK1|EFNB3|EMP2|EPO|ERBB2|ETS1|HES1|IL4R|ITGB2|KDR|SMAD3|SMAD7|NEDD9|PDGFB|RAC3|SFRP1|SMARCB1|SOX4|STAT5B|TEK|TESK1|TFRC|TGFBR2|TJP1|TYK2|YWHAG|LDB1|DNAJA3|PIEZO1|KAT5|CORO1A|PRKD2|F11R|ZBTB7B|HSD17B12|LEF1|ACTL6B|RIN2|PHF10|CARMIL1|LIMS2|VSIR|DUSP26|PIK3R6,-5.7,Var1
GO Biological Processes,19,GO:0055086,nucleobase-containing small molecule metabolic process,19_GO:0009987 cellular process,-7.9,2.2,6.4,30284,605,1307,58,4.4,0.57,107|271|498|509|514|669|954|978|1497|1716|1743|1890|1969|2026|2232|2639|3099|3704|4191|4714|4715|4720|4725|4830|4913|5138|5224|5226|6392|7084|7086|7351|7374|8801|9414|9551|9563|9605|10840|11164|11332|23028|23433|23463|25939|27233|50808|51079|51144|51292|51703|54539|56952|64087|84532|91373|113278|115024,ADCY1|AMPD2|ATP5F1A|ATP5F1C|ATP5F1E|BPGM|ENTPD2|CDA|CTNS|DGUOK|DLST|TYMP|EPHA2|ENO2|FDXR|GCDH|HK2|ITPA|MDH2|NDUFB8|NDUFB9|NDUFS2|NDUFS5|NME1|NTHL1|PDE2A|PGAM2|PGD|SDHD|TK2|TKT|UCP2|UNG|SUCLG2|TJP2|ATP5MF|H6PD|VPS9D1|ALDH1L1|NUDT5|ACOT7|KDM1A|RHOQ|ICMT|SAMHD1|SULT1C4|AK3|NDUFA13|HSD17B12|GMPR2|ACSL5|NDUFB11|PRTFDC1|MCCC2|ACSS1|UAP1L1|SLC52A3|NT5C3B,-5.7,Var1
GO Biological Processes,19,GO:0032940,secretion by cell,19_GO:0051179 localization,-7.8,2.5,6.6,30284,428,1307,46,3.5,0.51,41|320|379|818|1020|1174|1906|1910|2214|2281|3764|4756|4851|5127|5532|5864|5936|6720|6804|6814|6860|6861|6926|7476|8322|8773|9143|9145|9342|10461|10961|11069|11151|22820|26056|55114|55362|55512|84446|112476|112755|140689|192683|374969|376267|644150,ASIC1|APBA1|ARL4D|CAMK2G|CDK5|AP1S1|EDN1|EDNRB|FCGR3A|FKBP1B|KCNJ8|NEO1|NOTCH1|CDK16|PPP3CB|RAB3A|RBM4|SREBF1|STX1A|STXBP3|SYT4|SYT5|TBX3|WNT7A|FZD4|SNAP23|SYNGR3|SYNGR1|SNAP29|MERTK|ERP29|RAPGEF4|CORO1A|COPG1|RAB11FIP5|ARHGAP17|TMEM63B|SMPD3|BRSK1|PRRT2|STX1B|CBLN4|SCAMP5|SVBP|RAB15|WIPF3,-5.7,Var1
GO Biological Processes,19,GO:0021700,developmental maturation,19_GO:0032502 developmental process,-7.8,2.9,6.8,30284,292,1307,36,2.8,0.45,94|534|718|865|1050|1742|1906|2056|2260|2624|2629|3280|3516|3791|4066|4131|4774|5364|5745|5864|5925|8578|8941|9296|9334|10981|23028|26047|27289|51324|51412|54345|55638|84966|116151|124925,ACVRL1|ATP6V1G2|C3|CBFB|CEBPA|DLG4|EDN1|EPO|FGFR1|GATA2|GBA1|HES1|RBPJ|KDR|LYL1|MAP1B|NFIA|PLXNB1|PTH1R|RAB3A|RB1|SCARF1|CDK5R2|ATP6V1F|B4GALT5|RAB32|KDM1A|CNTNAP2|RND1|SPG21|ACTL6B|SOX18|SYBU|IGSF21|FAM210B|SEZ6,-5.6,Var1
GO Biological Processes,19,GO:1902903,regulation of supramolecular fiber organization,19_GO:0050789 regulation of biological process,-7.7,2.5,6.6,30284,402,1307,44,3.4,0.5,88|822|1906|2039|2242|3339|3636|3925|4088|4131|4137|5202|5829|5925|6422|6709|7016|7082|7111|8936|9168|10300|10382|10458|10634|11013|11075|11151|22899|22911|22924|23189|28964|50848|51466|54930|55604|57662|57704|81553|84952|85415|89927|114822,ACTN2|CAPG|EDN1|DMTN|FES|HSPG2|INPPL1|STMN1|SMAD3|MAP1B|MAPT|PFDN2|PXN|RB1|SFRP1|SPTAN1|TESK1|TJP1|TMOD1|WASF1|TMSB10|KATNB1|TUBB4A|BAIAP2|GAS2L1|TMSB15A|STMN2|CORO1A|ARHGEF15|WDR47|MAPRE3|KANK1|GIT1|F11R|EVL|HAUS4|CARMIL1|CAMSAP3|GBA2|CYRIA|CGNL1|RHPN2|BMERB1|RHPN1,-5.6,Var1
GO Biological Processes,19,GO:0010639,negative regulation of organelle organization,19_GO:0048519 negative regulation of biological process,-7.7,2.7,6.6,30284,348,1307,40,3.1,0.48,655|666|822|2039|3925|3985|4131|4137|4682|5371|6709|7016|7037|7082|7111|7157|9168|9637|9638|10300|10382|10413|10634|11013|11075|11151|22911|23189|26277|28978|50848|51750|65057|84952|85415|89927|112476|114822|146691|100134934,BMP7|BOK|CAPG|DMTN|STMN1|LIMK2|MAP1B|MAPT|NUBP1|PML|SPTAN1|TESK1|TFRC|TJP1|TMOD1|TP53|TMSB10|FEZ2|FEZ1|KATNB1|TUBB4A|YAP1|GAS2L1|TMSB15A|STMN2|CORO1A|WDR47|KANK1|TINF2|TMEM14A|F11R|RTEL1|ACD|CGNL1|RHPN2|BMERB1|PRRT2|RHPN1|TOM1L2|TEN1,-5.6,Var1
GO Biological Processes,19,GO:0050803,regulation of synapse structure or activity,19_GO:0065007 biological regulation,-7.7,2.7,6.7,30284,321,1307,38,2.9,0.46,41|391|816|1020|1627|1793|1949|2239|2260|3706|4131|4208|4738|4739|4761|5802|5881|7476|7779|7846|8321|8536|9040|9423|10458|10672|22899|25791|51225|51517|55638|55752|57142|57633|79012|81609|115703|203068,ASIC1|RHOG|CAMK2B|CDK5|DBN1|DOCK1|EFNB3|GPC4|FGFR1|ITPKA|MAP1B|MEF2C|NEDD8|NEDD9|NEUROD2|PTPRS|RAC3|WNT7A|SLC30A1|TUBA1A|FZD1|CAMK1|UBE2M|NTN1|BAIAP2|GNA13|ARHGEF15|NGEF|ABI3|NCKIPSD|SYBU|SEPTIN11|RTN4|LRRN1|CAMKV|SNX27|ARHGAP33|TUBB,-5.6,Var1
GO Biological Processes,19,GO:0001885,endothelial cell development,19_GO:0032502 developmental process,-7.7,6.4,8.1,30284,51,1307,14,1.1,0.28,1910|2947|4855|5138|5802|6781|7082|9414|26084|50848|54345|54538|57493|57826,EDNRB|GSTM3|NOTCH4|PDE2A|PTPRS|STC1|TJP1|TJP2|ARHGEF26|F11R|SOX18|ROBO4|HEG1|RAP2C,-5.5,Var1
GO Biological Processes,19,GO:0099175,regulation of postsynapse organization,19_GO:0050789 regulation of biological process,-7.6,3.8,7.1,30284,148,1307,24,1.8,0.37,41|391|816|1020|1627|1793|2260|3706|4131|4738|4739|5802|5881|7476|7779|9040|10458|10672|22899|25791|51225|51517|57142|115703,ASIC1|RHOG|CAMK2B|CDK5|DBN1|DOCK1|FGFR1|ITPKA|MAP1B|NEDD8|NEDD9|PTPRS|RAC3|WNT7A|SLC30A1|UBE2M|BAIAP2|GNA13|ARHGEF15|NGEF|ABI3|NCKIPSD|RTN4|ARHGAP33,-5.5,Var1
GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0032502 developmental process,-7.6,2.1,6.3,30284,739,1307,66,5,0.61,94|595|604|605|655|865|1020|1050|1910|1949|1956|2064|2624|2852|2874|3276|3280|3516|3566|3635|4088|4091|4092|4303|4435|4780|4821|4851|4855|5155|5802|5925|6422|6522|6658|6659|6760|6772|6777|6860|6926|7101|7157|7476|8861|9275|9423|10014|10413|22882|23111|25793|25805|25937|27250|28514|51043|51412|55198|56896|56920|57142|63976|79365|374946|441478,ACVRL1|CCND1|BCL6|BCL7A|BMP7|CBFB|CDK5|CEBPA|EDNRB|EFNB3|EGFR|ERBB2|GATA2|GPER1|GPS2|PRMT1|HES1|RBPJ|IL4R|INPP5D|SMAD3|SMAD6|SMAD7|FOXO4|CITED1|NFE2L2|NKX2-2|NOTCH1|NOTCH4|PDGFB|PTPRS|RB1|SFRP1|SLC4A2|SOX3|SOX4|SS18|STAT1|STAT5B|SYT4|TBX3|NR2E1|TP53|WNT7A|LDB1|BCL7B|NTN1|HDAC5|YAP1|ZHX2|SPART|FBXO7|BAMBI|WWTR1|PDCD4|DLL1|ZBTB7B|ACTL6B|APPL2|DPYSL5|SEMA3G|RTN4|PRDM16|BHLHE41|DRAXIN|NRARP,-5.5,Var1
GO Biological Processes,19,GO:0006897,endocytosis,19_GO:0051179 localization,-7.6,2.3,6.4,30284,508,1307,51,3.9,0.54,135|311|808|1020|1174|1793|2624|3265|3339|3636|3689|4646|4830|4864|6804|7037|7275|8578|8936|9261|9322|9413|9892|10043|10188|10461|10928|11151|11277|23433|23677|25977|27131|28514|28988|29763|30844|30845|51517|54453|54874|55604|55707|57007|57381|57488|58191|85439|112574|115677|143458,ADORA2A|ANXA11|CALM3|CDK5|AP1S1|DOCK1|GATA2|HRAS|HSPG2|INPPL1|ITGB2|MYO6|NME1|NPC1|STX1A|TFRC|TUB|SCARF1|WASF1|MAPKAPK2|TRIP10|ENTREP1|SNAP91|TOM1|TNK2|MERTK|RALBP1|CORO1A|TREX1|RHOQ|SH3BP4|NECAP1|SNX5|DLL1|DBNL|PACSIN3|EHD4|EHD3|NCKIPSD|RIN2|FNBP1L|CARMIL1|NECAP2|ACKR3|RHOJ|ESYT2|CXCL16|STON2|SNX18|NOSTRIN|LDLRAD3,-5.5,Var1
GO Biological Processes,19,GO:0061437,renal system vasculature development,19_GO:0032502 developmental process,-7.6,9.7,9,30284,24,1307,10,0.77,0.24,285|947|1906|2828|3280|4851|4853|5155|5156|7010,ANGPT2|CD34|EDN1|GPR4|HES1|NOTCH1|NOTCH2|PDGFB|PDGFRA|TEK,-5.5,Var1
GO Biological Processes,19,GO:0061440,kidney vasculature development,19_GO:0032502 developmental process,-7.6,9.7,9,30284,24,1307,10,0.77,0.24,285|947|1906|2828|3280|4851|4853|5155|5156|7010,ANGPT2|CD34|EDN1|GPR4|HES1|NOTCH1|NOTCH2|PDGFB|PDGFRA|TEK,-5.5,Var1
GO Molecular Functions,21,GO:0004714,transmembrane receptor protein tyrosine kinase activity,,-7.6,5.8,7.9,30284,60,1307,15,1.1,0.29,1436|1944|1945|1949|1956|1969|2050|2064|2260|2263|3791|5156|7010|7075|10461,CSF1R|EFNA3|EFNA4|EFNB3|EGFR|EPHA2|EPHB4|ERBB2|FGFR1|FGFR2|KDR|PDGFRA|TEK|TIE1|MERTK,-5.5,Var1
